key	l1_num	l2_num	activity_num	activity_item_num	l1_topic	l2_topic	activity	item
1.01.A01.01	1	1	1	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Early Childhood Development Education	Formal early childhood development education for all children aged 03 to 05 years
1.01.A01.02	1	1	1	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Early Childhood Development Education	An Early Childhood Development Education Centre for every child within 2 km from their home or parent’s workplace
1.01.A01.03	1	1	1	3	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Early Childhood Development Education	Programs that foster the development of good habits, attitudes, and ethics, tailored to suit the physical and mental conditions of children, are essential for their successful integration into social life
1.01.A01.04	1	1	1	4	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Early Childhood Development Education	National language programs that include English and other national languages as languages of spoken communication in addition to the mother tongue.
1.01.A01.05	1	1	1	5	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Early Childhood Development Education	Adaptation programs to deal with multicultural diversity
1.01.A01.06	1	1	1	6	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Early Childhood Development Education	Activities that improve children’s health and nutritional status
1.01.A01.07	1	1	1	7	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Early Childhood Development Education	An Early Childhood Development Regulatory Agency to regulate Early Childhood Development Centres
1.01.A01.08	1	1	1	8	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Early Childhood Development Education	Mandatory professional training with minimum educational qualifications and a minimum salary for Early Childhood Development Centre Wardens and teachers.
1.01.A01.09	1	1	1	9	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Early Childhood Development Education	A formal national institute and branch system for training Early Childhood Development professionals.
1.01.A03.01	1	1	3	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	School education	Primary education from year 1 to year 5
1.01.A03.02	1	1	3	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	School education	Junior Secondary Education from 6th to 9th year
1.01.A03.03	1	1	3	3	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	School education	Senior Secondary (Lower) Education from Year 10 to Year 11
1.01.A03.04	1	1	3	4	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	School education	Senior Secondary (Higher) Education from Years 12 to 13
1.01.A04.01	1	1	4	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Primary education	A government school system for primary education within 3 km of one’s home or parents’ place of work.
1.01.A04.02	1	1	4	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Primary education	A student-centred education that stimulates intellectual curiosity and knowledge development without disrupting childhood.
1.01.A04.03	1	1	4	3	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Primary education	It is the responsibility of the government to provide physical and human resources to schools to maintain minimum facilities.
1.01.A04.04	1	1	4	4	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Primary education	A school transport system following requirements and accepted standards.
1.01.A05.01	1	1	5	1	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Junior Secondary Education	A junior secondary school system and a senior secondary school system covering or 3 primary schools, considering population and geographical location.
1.01.A05.02	1	1	5	2	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Junior Secondary Education	Major subjects to enable children to choose higher education or vocational education according to their abilities and special skills.
1.01.A05.03	1	1	5	3	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Junior Secondary Education	A student-centred education that develops students’ intellectual skills related to their age groups.
1.01.A05.04	1	1	5	4	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Junior Secondary Education	Additional subjects and activities to foster social values and civic responsibility.
1.01.A05.05	1	1	5	5	A fulfilling life - A comfortable country	A civilized citizen - An advanced human resource	Junior Secondary Education	Educational programs about major religions in Sri Lanka, as well as education about the student’s own religion.
